,examine,id,members,lowalch,limit,value,highalch,icon,name
1753,"A set containing a full helm, platebody, skirt and kiteshield.",12982,False,360.0,8.0,900,540.0,Iron gold-trimmed set (sk).png,Iron gold-trimmed set (sk)
1754,An iron halberd.,3192,True,112.0,125.0,280,168.0,Iron halberd.png,Iron halberd
1755,"An iron-tipped, one-handed hasta.",11369,True,36.0,125.0,91,54.0,Iron hasta.png,Iron hasta
1756,"A poison-tipped, one-handed iron hasta.",11386,True,36.0,125.0,91,54.0,Iron hasta(p).png,Iron hasta(p)
1757,"A poison-tipped, one-handed iron hasta.",11389,True,36.0,125.0,91,54.0,Iron hasta(p+).png,Iron hasta(p+)
1758,"A poison-tipped, one-handed iron hasta.",11391,True,36.0,125.0,91,54.0,Iron hasta(p++).png,Iron hasta(p++)
1759,An iron tipped javelin.,826,True,2.0,7000.0,6,3.0,Iron javelin.png,Iron javelin
1760,Needs a shaft.,19572,True,14.0,10000.0,35,21.0,Iron javelin heads 5.png,Iron javelin heads
1761,An iron tipped javelin.,832,True,2.0,7000.0,6,3.0,Iron javelin(p).png,Iron javelin(p)
1762,An iron tipped javelin.,5643,True,2.0,7000.0,6,3.0,Iron javelin(p+).png,Iron javelin(p+)
1763,An iron tipped javelin.,5649,True,2.0,7000.0,6,3.0,Iron javelin(p++).png,Iron javelin(p++)
1764,A large metal shield.,1191,False,95.0,125.0,238,142.0,Iron kiteshield.png,Iron kiteshield
1765,Iron kiteshield with gold trim.,12243,False,96.0,4.0,240,144.0,Iron kiteshield (g).png,Iron kiteshield (g)
1766,Iron kiteshield with trim.,12233,False,96.0,4.0,240,144.0,Iron kiteshield (t).png,Iron kiteshield (t)
1767,A finely balanced throwing knife.,863,True,1.0,7000.0,3,1.0,Iron knife.png,Iron knife
1768,A finely balanced throwing knife.,871,True,1.0,7000.0,3,1.0,Iron knife(p).png,Iron knife(p)
1769,A finely balanced throwing knife.,5655,True,1.0,7000.0,3,1.0,Iron knife(p+).png,Iron knife(p+)
1770,A finely balanced throwing knife.,5662,True,1.0,7000.0,3,1.0,Iron knife(p++).png,Iron knife(p++)
1771,A pair of iron crossbow limbs.,9423,True,28.0,10000.0,70,42.0,Iron limbs.png,Iron limbs
1772,A razor sharp longsword.,1293,False,56.0,125.0,140,84.0,Iron longsword.png,Iron longsword
1773,A spiky mace.,1420,False,25.0,125.0,63,37.0,Iron mace.png,Iron mace
1774,A medium sized helmet.,1137,False,33.0,125.0,84,50.0,Iron med helm.png,Iron med helm
1775,Keeps things in place fairly permanently.,4820,True,1.0,13000.0,4,2.0,Iron nails.png,Iron nails
1776,This needs refining.,440,False,6.0,13000.0,17,10.0,Iron ore.png,Iron ore
1777,Used for mining.,1267,False,56.0,40.0,140,84.0,Iron pickaxe.png,Iron pickaxe
1778,Provides excellent protection.,1115,False,224.0,125.0,560,336.0,Iron platebody.png,Iron platebody
1779,Iron platebody with gold trim.,12235,False,224.0,4.0,560,336.0,Iron platebody (g).png,Iron platebody (g)
1780,Iron platebody with trim.,12225,False,224.0,4.0,560,336.0,Iron platebody (t).png,Iron platebody (t)
1781,These look pretty heavy.,1067,False,112.0,125.0,280,168.0,Iron platelegs.png,Iron platelegs
1782,Iron platelegs with gold trim.,12237,False,112.0,4.0,280,168.0,Iron platelegs (g).png,Iron platelegs (g)
1783,Iron platelegs with trim.,12227,False,112.0,4.0,280,168.0,Iron platelegs (t).png,Iron platelegs (t)
1784,Designer leg protection.,1081,False,112.0,125.0,280,168.0,Iron plateskirt.png,Iron plateskirt
1785,Iron plateskirt with gold trim.,12239,False,112.0,4.0,280,168.0,Iron plateskirt (g).png,Iron plateskirt (g)
1786,Iron plateskirt with trim.,12229,False,112.0,4.0,280,168.0,Iron plateskirt (t).png,Iron plateskirt (t)
1787,"A vicious, curved sword.",1323,False,44.0,125.0,112,67.0,Iron scimitar.png,Iron scimitar
1788,"A set containing a full helm, platebody, legs and kiteshield.",12972,False,360.0,8.0,900,540.0,Iron set (lg).png,Iron set (lg)
1789,"A set containing a full helm, platebody, skirt and kiteshield.",12974,False,360.0,8.0,900,540.0,Iron set (sk).png,Iron set (sk)
1790,An iron tipped spear.,1239,True,36.0,125.0,91,54.0,Iron spear.png,Iron spear
1791,A poisoned iron tipped spear.,1253,True,36.0,125.0,91,54.0,Iron spear(p).png,Iron spear(p)
1792,A poisoned iron tipped spear.,5706,True,36.0,125.0,91,54.0,Iron spear(p+).png,Iron spear(p+)
1793,A poisoned iron tipped spear.,5720,True,36.0,125.0,91,54.0,Iron spear(p++).png,Iron spear(p++)
1794,An iron spit.,7225,True,25.0,11000.0,64,38.0,Iron spit.png,Iron spit
1795,A medium square shield.,1175,False,67.0,125.0,168,100.0,Iron sq shield.png,Iron sq shield
1796,A razor sharp sword.,1279,False,36.0,125.0,91,54.0,Iron sword.png,Iron sword
1797,A finely balanced throwing axe.,801,True,2.0,7000.0,7,4.0,Iron thrownaxe.png,Iron thrownaxe
1798,"A set containing a full helm, platebody, legs and kiteshield.",12976,False,360.0,8.0,900,540.0,Iron trimmed set (lg).png,Iron trimmed set (lg)
1799,"A set containing a full helm, platebody, skirt and kiteshield.",12978,False,360.0,8.0,900,540.0,Iron trimmed set (sk).png,Iron trimmed set (sk)
1800,I don't think it's intended for joinery.,1335,False,69.0,125.0,173,103.0,Iron warhammer.png,Iron warhammer
1801,Gets knots and kinks out of your hair.,9026,True,4.0,13000.0,10,6.0,Ivory comb.png,Ivory comb
1802,A semi precious stone.,1611,True,60.0,13000.0,150,90.0,Jade.png,Jade
1803,I wonder if I can get this enchanted.,21111,True,420.0,10000.0,1050,630.0,Jade amulet.png,Jade amulet
1804,It needs a string so I can wear it.,21102,True,420.0,10000.0,1050,630.0,Jade amulet (u).png,Jade amulet (u)
1805,Jade bolt tips.,9187,True,4.0,11000.0,10,6.0,Jade bolt tips 5.png,Jade bolt tips
1806,I wonder if this is valuable.,21120,True,520.0,10000.0,1300,780.0,Jade bracelet.png,Jade bracelet
1807,"Dragon crossbow bolts, tipped with jade.",21957,True,240.0,11000.0,600,360.0,Jade dragon bolts 5.png,Jade dragon bolts
1808,"Enchanted Dragon crossbow bolts, tipped with jade.",21934,True,252.0,11000.0,630,378.0,Jade dragon bolts (e) 5.png,Jade dragon bolts (e)
1809,A jungle specific slashing device.,6315,True,400.0,15.0,1000,600.0,Jade machete.png,Jade machete
1810,I wonder if this is valuable.,21093,True,510.0,10000.0,1275,765.0,Jade necklace.png,Jade necklace
1811,A valuable ring.,21084,True,510.0,10000.0,1275,765.0,Jade ring.png,Jade ring
1812,They don't look very ripe.,247,True,1.0,13000.0,1,1.0,Jangerberries.png,Jangerberries
1813,A jangerberry bush seed - plant in a bush patch.,5104,True,24.0,200.0,60,36.0,Jangerberry seed 5.png,Jangerberry seed
1814,Looks unstable.,23064,True,1.0,4.0,1,1.0,Jar of chemicals.png,Jar of chemicals
1815,It smells like it's been where the sun doesn't shine.,19701,True,1.0,4.0,1,1.0,Jar of darkness.png,Jar of darkness
1816,Very healthy.,22106,True,1.0,4.0,1,1.0,Jar of decay.png,Jar of decay
1817,It's just a jar of dirt.,12007,True,1.0,4.0,1,1.0,Jar of dirt.png,Jar of dirt
1818,"With this jar, your dreams can come true!",24495,True,1.0,4.0,1,1.0,Jar of dreams.png,Jar of dreams
1819,Stop staring!,23525,True,1.0,4.0,1,1.0,Jar of eyes.png,Jar of eyes
1820,It smells abysmal.,13277,True,1.0,4.0,1,1.0,Jar of miasma.png,Jar of miasma
1821,It's just a jar of sand.,12885,True,1.0,5.0,1,1.0,Jar of sand.png,Jar of sand
1822,Don't breath in.,25524,True,1.0,4.0,1,1.0,Jar of smoke.png,Jar of smoke
1823,This may be of use for a certain person.,13245,True,1.0,4.0,1,1.0,Jar of souls.png,Jar of souls
1824,How does someone jar this?,25521,True,1.0,4.0,1,1.0,Jar of spirits.png,Jar of spirits
1825,Stones aren't very useful in this capacity.,21745,True,1.0,4.0,1,1.0,Jar of stone.png,Jar of stone
1826,This is my Swamp!,12936,True,1.0,4.0,1,1.0,Jar of swamp.png,Jar of swamp
1827,"It's not very strong, but it could be pointy if you put a pointy tip on it.",19584,True,1.0,7000.0,1,1.0,Javelin shaft 5.png,Javelin shaft
1828,A jester cape.,23297,False,400.0,4.0,1000,600.0,Jester cape.png,Jester cape
1829,Fairly big bones which smell distinctly of Jogre.,3125,True,1.0,3000.0,1,1.0,Jogre bones.png,Jogre bones
1830,This jug is empty.,1935,False,1.0,13000.0,1,1.0,Jug.png,Jug
1831,It's full of water.,1937,False,1.0,13000.0,1,1.0,Jug of water.png,Jug of water
1832,It's full of wine.,1993,False,1.0,6000.0,1,1.0,Jug of wine.png,Jug of wine
1833,These should make me harder to spot in jungle areas.,10059,True,8.0,150.0,20,12.0,Jungle camo legs.png,Jungle camo legs
1834,This should make me harder to spot in jungle areas.,10057,True,8.0,150.0,20,12.0,Jungle camo top.png,Jungle camo top
1835,A mask resembling a visage of a Greater Jungle demon.,20032,True,1600.0,4.0,4000,2400.0,Jungle demon mask.png,Jungle demon mask
1836,"A set containing a Justiciar faceguard, Justiciar chestguard and Justiciar legguards.",22438,True,58000.0,5.0,145000,87000.0,Justiciar armour set.png,Justiciar armour set
1837,"A Justiciar's chestguard. They once roamed the land casting judgements on wrongdoers, their decisions were never questioned.",22327,True,2400000.0,8.0,6000000,3600000.0,Justiciar chestguard.png,Justiciar chestguard
1838,"A helm that once belonged to a Justiciar, a loyal zealot of Saradomin.",22326,True,800000.0,8.0,2000000,1200000.0,Justiciar faceguard.png,Justiciar faceguard
1839,A Justiciar's platelegs. Their once bright colours have since faded.,22328,True,1800000.0,8.0,4500000,2700000.0,Justiciar legguards.png,Justiciar legguards
1840,I can weave this to make sacks.,5931,True,2.0,13000.0,6,3.0,Jute fibre.png,Jute fibre
1841,A jute plant seed - plant in a hops patch.,5306,True,2.0,2000.0,5,3.0,Jute seed 5.png,Jute seed
1842,"A wide bodied and thin necked vessel, encrusted with sea salt.",3157,True,2.0,15.0,5,3.0,Karambwan vessel.png,Karambwan vessel
1843,This Karambwan Vessel is loaded with Karambwanji.,3159,True,16.0,15.0,40,24.0,Karambwan vessel (baited).png,Karambwan vessel (baited)
1844,Makes my face itch.,4595,True,1.0,15.0,1,1.0,Karidian disguise.png,Karidian disguise
1845,"A set containing a Karil's coif, leatherskirt, leathertop and crossbow.",12883,True,80000.0,8.0,200000,120000.0,Karil's armour set.png,Karil's armour set
1846,Karil the Tainted's coif.,4732,True,5200.0,15.0,13000,7800.0,Karil's coif.png,Karil's coif
1847,Karil the Tainted's coif.,4932,True,5200.0,15.0,13000,7800.0,Karil's coif 0.png,Karil's coif 0
1848,Karil the Tainted's repeating crossbow.,4734,True,64000.0,15.0,160000,96000.0,Karil's crossbow.png,Karil's crossbow
1849,Karil the Tainted's repeating crossbow.,4938,True,64000.0,15.0,160000,96000.0,Karil's crossbow 0.png,Karil's crossbow 0
1850,Karil the Tainted's leather skirt.,4738,True,18800.0,15.0,47000,28200.0,Karil's leatherskirt.png,Karil's leatherskirt
1851,Karil the Tainted's leather skirt.,4950,True,18800.0,15.0,47000,28200.0,Karil's leatherskirt 0.png,Karil's leatherskirt 0
1852,Karil the Tainted's leather body armour.,4736,True,20000.0,15.0,50000,30000.0,Karil's leathertop.png,Karil's leathertop
1853,Karil the Tainted's leather body armour.,4944,True,20000.0,15.0,50000,30000.0,Karil's leathertop 0.png,Karil's leathertop 0
1854,Created by Hattori Hanzo in the Eastern Lands.,12357,True,9600.0,8.0,24000,14400.0,Katana.png,Katana
1855,A meaty kebab.,1971,False,1.0,6000.0,3,1.0,Kebab.png,Kebab
1856,"A mixture of chopped tomatoes, onions and ugthanki meat in a bowl.",1881,True,3.0,11000.0,9,5.0,Kebab mix.png,Kebab mix
1857,Bolts made from the spikes of a prickly kebbit.,10158,True,7.0,11000.0,18,10.0,Kebbit bolts.png,Kebbit bolts
1858,More menacing when attached to the owner.,10113,True,17.0,10000.0,43,25.0,Kebbit claws.png,Kebbit claws
1859,These bone spikes are both very tough and very sharp.,10105,True,36.0,10000.0,90,54.0,Kebbit spike.png,Kebbit spike
1860,A kebbit-sized set of dentures.,10109,True,64.0,10000.0,160,96.0,Kebbit teeth.png,Kebbit teeth
1861,Previously a kebbit-sized set of dentures.,10111,True,64.0,10000.0,160,96.0,Kebbit teeth dust.png,Kebbit teeth dust
1862,A lot of beer in a barrel.,3801,True,100.0,2000.0,250,150.0,Keg of beer.png,Keg of beer
1863,Wear it on your head.,4591,True,1.0,15.0,1,1.0,Kharidian headpiece.png,Kharidian headpiece
1864,A teleport to Kharyrll.,12779,True,1.0,10000.0,1,1.0,Kharyrll teleport (tablet).png,Kharyrll teleport (tablet)
1865,A teleport to Port Khazard.,24957,True,1.0,10000.0,1,1.0,Khazard teleport (tablet).png,Khazard teleport (tablet)
1866,They're a gnome delicacy apparently.,2162,True,1.0,13000.0,2,1.0,King worm.png,King worm
1867,"A sharp, dependable knife, for filleting meat.",7447,True,3200.0,50.0,8000,4800.0,Kitchen knife.png,Kitchen knife
1868,How does it all fit in there?,8528,True,4.0,500.0,10,6.0,Kitchen table (flatpack).png,Kitchen table (flatpack)
1869,A dangerous looking knife.,946,False,2.0,40.0,6,3.0,Knife.png,Knife
1870,"An insignia representing Kodai, Xeric's fearsome wizards.",21043,True,60000.0,8.0,150000,90000.0,Kodai insignia.png,Kodai insignia
1871,A wand of an ancient Kodai mage.,21006,True,60000.0,8.0,150000,90000.0,Kodai wand.png,Kodai wand
1872,Ewwww... it's still sucky.,12004,True,33336.0,70.0,83340,50004.0,Kraken tentacle.png,Kraken tentacle
1873,A handful of Krandorian Hops.,6000,True,4.0,11000.0,10,6.0,Krandorian hops.png,Krandorian hops
1874,A Krandorian hop seed - plant in a hops patch.,5310,True,3.0,2000.0,8,4.0,Krandorian seed 5.png,Krandorian seed
1875,A powerful herb.,263,True,21.0,13000.0,54,32.0,Kwuarm.png,Kwuarm
1876,I need another ingredient to finish this Kwuarm potion.,105,True,21.0,10000.0,54,32.0,Kwuarm potion (unf).png,Kwuarm potion (unf)
1877,A kwuarm seed - plant in a herb patch.,5299,True,4.0,200.0,11,6.0,Kwuarm seed 5.png,Kwuarm seed
1878,It's a perfect-looking kyatt fur.,10103,True,64.0,10000.0,160,96.0,Kyatt fur.png,Kyatt fur
1879,This should make me harder to spot in polar areas.,10039,True,400.0,150.0,1000,600.0,Kyatt hat.png,Kyatt hat
1880,These should make me harder to spot in polar areas.,10035,True,80.0,150.0,200,120.0,Kyatt legs.png,Kyatt legs
1881,This should make me harder to spot in polar areas.,10037,True,80.0,150.0,200,120.0,Kyatt top.png,Kyatt top
1882,A powerful herb.,2481,True,27.0,11000.0,68,40.0,Lantadyme.png,Lantadyme
1883,I need another ingredient to finish this Lantadyme potion.,2483,True,27.0,10000.0,68,40.0,Lantadyme potion (unf).png,Lantadyme potion (unf)
1884,A lantadyme seed - plant in a herb patch.,5302,True,3.0,200.0,9,5.0,Lantadyme seed 5.png,Lantadyme seed
1885,A roughly circular disc of glass.,4542,True,28.0,10000.0,70,42.0,Lantern lens.png,Lantern lens
1886,How does it all fit in there?,8580,True,4.0,500.0,10,6.0,Large oak bed (flatpack).png,Large oak bed (flatpack)
1887,How does it all fit in there?,8584,True,4.0,500.0,10,6.0,Large teak bed (flatpack).png,Large teak bed (flatpack)
1888,It's a perfect-looking larupia fur.,10095,True,32.0,10000.0,80,48.0,Larupia fur.png,Larupia fur
1889,This should make me harder to spot in woodland and jungle areas.,10045,True,200.0,150.0,500,300.0,Larupia hat.png,Larupia hat
1890,These should make me harder to spot in woodland and jungle areas.,10041,True,40.0,150.0,100,60.0,Larupia legs.png,Larupia legs
1891,This should make me harder to spot in woodland and jungle areas.,10043,True,40.0,150.0,100,60.0,Larupia top.png,Larupia top
1892,A teleport to Lassar.,12780,True,1.0,10000.0,1,1.0,Lassar teleport (tablet).png,Lassar teleport (tablet)
1893,It's a slightly magical stick.,3053,True,6800.0,8.0,17000,10200.0,Lava battlestaff.png,Lava battlestaff
1894,Bones of a lava dragon.,11943,True,60.0,7500.0,150,90.0,Lava dragon bones.png,Lava dragon bones
1895,Do I look scary?,12371,True,4000.0,4.0,10000,6000.0,Lava dragon mask.png,Lava dragon mask
1896,A combined Earth and Fire Rune.,4699,True,8.0,12000.0,20,12.0,Lava rune.png,Lava rune
1897,A scale from the hide of a lava dragon.,11992,True,20.0,11000.0,50,30.0,Lava scale.png,Lava scale
1898,Ground-up lava dragon scale.,11994,True,8.0,11000.0,20,12.0,Lava scale shard 5.png,Lava scale shard
1899,Makes a lava battlestaff or mystic lava staff more beautiful.,21202,True,600.0,50.0,1500,900.0,Lava staff upgrade kit.png,Lava staff upgrade kit
1900,Used for teleport spells.,563,False,96.0,12000.0,240,144.0,Law rune.png,Law rune
1901,A razor-sharp battleaxe.,20727,True,38400.0,70.0,96000,57600.0,Leaf-bladed battleaxe.png,Leaf-bladed battleaxe
1902,A razor-sharp sword.,11902,True,27200.0,70.0,68000,40800.0,Leaf-bladed sword.png,Leaf-bladed sword
1903,"The lean, slimy corpse of a deceased giant snail.",3365,True,4.0,13000.0,10,6.0,Lean snail.png,Lean snail
1904,A succulently slimy slice of sumptuous snail.,3371,True,8.0,6000.0,20,12.0,Lean snail meat.png,Lean snail meat
1905,Some non-tasty salmon.,11330,True,1.0,13000.0,3,1.0,Leaping salmon.png,Leaping salmon
1906,A bloated sturgeon.,11332,True,1.0,13000.0,4,2.0,Leaping sturgeon.png,Leaping sturgeon
1907,A sad-looking trout.,11328,True,1.0,13000.0,2,1.0,Leaping trout.png,Leaping trout
1908,It's a piece of leather.,1741,False,1.0,13000.0,1,1.0,Leather.png,Leather
1909,Better than no armour!,1129,False,8.0,125.0,21,12.0,Leather body.png,Leather body
1910,Better than no armour! Nice trim too!,23381,False,340.0,8.0,850,510.0,Leather body (g).png,Leather body (g)
1911,Comfortable leather boots.,1061,False,2.0,125.0,6,3.0,Leather boots.png,Leather boots
1912,Better than no armour!,1095,False,8.0,125.0,20,12.0,Leather chaps.png,Leather chaps
1913,Better than no armour! Nice trim too!,23384,False,340.0,8.0,850,510.0,Leather chaps (g).png,Leather chaps (g)
1914,Better than no armour!,1167,False,9.0,125.0,24,14.0,Leather cowl.png,Leather cowl
1915,These will keep my hands warm!,1059,False,2.0,125.0,6,3.0,Leather gloves.png,Leather gloves
1916,Better than no armour!,1063,False,7.0,125.0,18,10.0,Leather vambraces.png,Leather vambraces
1917,A black piece of cloth on a string.,19724,True,1.0,4.0,2,1.0,Left eye patch.png,Left eye patch
1918,A fresh lemon.,2102,True,1.0,13000.0,2,1.0,Lemon.png,Lemon
1919,Fresh chunks of lemon.,2104,True,1.0,13000.0,2,1.0,Lemon chunks.png,Lemon chunks
1920,Fresh lemon slices.,2106,True,1.0,13000.0,2,1.0,Lemon slices.png,Lemon slices
1921,Top o' the morning!,12359,True,400.0,4.0,1000,600.0,Leprechaun hat.png,Leprechaun hat
1922,Evil.,20020,True,1600.0,4.0,4000,2400.0,Lesser demon mask.png,Lesser demon mask
1923,A weapon forged from the wreckage of an airship.,19478,True,50000.0,8.0,125000,75000.0,Light ballista.png,Light ballista
1924,Bow ties are cool.,19985,True,2000.0,4.0,5000,3000.0,Light bow tie.png,Light bow tie
1925,A light wooden frame.,19586,True,20000.0,8.0,50000,30000.0,Light frame.png,Light frame
1926,Use on infinity pieces to recolour them!,12530,True,2000.0,4.0,5000,3000.0,Light infinity colour kit.png,Light infinity colour kit
1927,A component of cave goblin Magic.,10973,True,140.0,10000.0,350,210.0,Light orb.png,Light orb
1928,Light tuxedo trousers with matching stockings.,19979,True,2400.0,4.0,6000,3600.0,Light trousers.png,Light trousers
1929,Linked tuxedo cuffs with a gold trim.,19976,True,1200.0,4.0,3000,1800.0,Light tuxedo cuffs.png,Light tuxedo cuffs
1930,A light tuxedo jacket with a matching shirt.,19973,True,4000.0,4.0,10000,6000.0,Light tuxedo jacket.png,Light tuxedo jacket
1931,Light shoes to match your light tuxedo.,19982,True,1200.0,4.0,3000,1800.0,Light tuxedo shoes.png,Light tuxedo shoes
1932,A fresh lime.,2120,True,1.0,13000.0,2,1.0,Lime.png,Lime
1933,Fresh chunks of lime.,2122,True,1.0,13000.0,1,1.0,Lime chunks.png,Lime chunks
1934,Fresh lime slices.,2124,True,1.0,13000.0,2,1.0,Lime slices.png,Lime slices
1935,Some limestone.,3211,True,4.0,13000.0,10,6.0,Limestone.png,Limestone
1936,A well carved limestone brick.,3420,True,8.0,10000.0,20,12.0,Limestone brick.png,Limestone brick
1937,The root of a limpwurt plant.,225,False,2.0,13000.0,7,4.0,Limpwurt root.png,Limpwurt root
1938,A limpwurt seed - plant in a flower patch.,5100,True,4.0,600.0,12,7.0,Limpwurt seed 5.png,Limpwurt seed
1939,One sheet of mummy wrap.,4684,True,12.0,15.0,30,18.0,Linen.png,Linen
1940,Ripped from the maw of a dying lizardman of Kourend.,13391,True,24.0,13000.0,60,36.0,Lizardman fang.png,Lizardman fang
1941,The remains of a deadly shade.,3396,True,1.0,7500.0,1,1.0,Loar remains.png,Loar remains
1942,This looks tricky to eat.,379,False,28.0,6000.0,70,42.0,Lobster.png,Lobster
1943,Useful for catching lobsters.,301,False,8.0,40.0,20,12.0,Lobster pot.png,Lobster pot
1944,For picking tough locks.,1523,True,8.0,250.0,20,12.0,Lockpick.png,Lockpick
1945,"Delicious and nutritious. Well, nutritious anyway.",9052,True,1.0,6000.0,1,1.0,Locust meat.png,Locust meat
1946,A number of wooden logs.,1511,False,1.0,15000.0,4,2.0,Logs.png,Logs
1947,Bolts made from the spikes of a razor-backed kebbit.,10159,True,12.0,11000.0,31,18.0,Long kebbit bolts.png,Long kebbit bolts
1948,These bone spikes are both very tough and very sharp.,10107,True,60.0,10000.0,150,90.0,Long kebbit spike.png,Long kebbit spike
1949,A nice sturdy bow.,839,False,32.0,18000.0,80,48.0,Longbow.png,Longbow
1950,I need to find a string for this.,48,True,24.0,10000.0,60,36.0,Longbow (u).png,Longbow (u)
1951,The loop end of the mysterious Crystal Key. Can you find the other half?,987,True,40.0,11000.0,100,60.0,Loop half of key.png,Loop half of key
1952,A note that may be exchanged at a bank for a Looting Bag.,24585,True,36.0,40.0,90,54.0,Looting bag note.png,Looting bag note
1953,A lovakite banner baring the sigil of house Lovakengj.,20257,True,28.0,4.0,70,42.0,Lovakengj banner.png,Lovakengj banner
1954,A rare hood from Lovakengj .,20119,True,1.0,4.0,1,1.0,Lovakengj hood.png,Lovakengj hood
1955,A yellow scarf adorned with an ornamental anvil.,19949,True,4000.0,4.0,10000,6000.0,Lovakengj scarf.png,Lovakengj scarf
1956,Teleports you to the Lumberyard.,12642,True,4.0,10000.0,10,6.0,Lumberyard teleport.png,Lumberyard teleport
1957,A teleport to Lumbridge graveyard.,19613,True,1.0,10000.0,1,1.0,Lumbridge graveyard teleport (tablet).png,Lumbridge graveyard teleport (tablet)
1958,A teleport to Lumbridge.,8008,True,1.0,10000.0,1,1.0,Lumbridge teleport (tablet).png,Lumbridge teleport (tablet)
1959,Teleports you to Lunar isle.,12405,True,4.0,10000.0,10,6.0,Lunar isle teleport.png,Lunar isle teleport
1960,Mahogany treasure chest.,9864,True,4.0,500.0,10,6.0,M. treasure chest (flatpack).png,M. treasure chest (flatpack)
1961,A jungle specific slashing device.,975,True,16.0,15.0,40,24.0,Machete.png,Machete
1962,Some nicely cooked mackerel.,355,True,6.0,6000.0,15,9.0,Mackerel.png,Mackerel
1963,The magical book of the Mage.,6889,True,200.0,15.0,500,300.0,Mage's book.png,Mage's book
1964,Feed and catch the birds by placing this in the right spot.,22201,True,2.0,250.0,5,3.0,Magic bird house.png,Magic bird house
1965,A magical catching box.,10025,True,240.0,250.0,600,360.0,Magic box.png,Magic box
1966,How does it all fit in there?,9848,True,4.0,500.0,10,6.0,Magic cape rack (flatpack).png,Magic cape rack (flatpack)
1967,A powerful bow made from magic wood.,10284,True,1000.0,8.0,2500,1500.0,Magic comp bow.png,Magic comp bow
1968,One dose of fishy Magic essence.,11491,True,52.0,2000.0,130,78.0,Magic essence mix(1).png,Magic essence mix(1)
1969,Two doses of fishy Magic essence.,11489,True,72.0,2000.0,180,108.0,Magic essence mix(2).png,Magic essence mix(2)
1970,This can be attached to a Staff of the Dead or a Trident of the Seas.,12932,True,40800.0,5.0,102000,61200.0,Magic fang.png,Magic fang
1971,Logs cut from a magic tree.,1513,True,128.0,12000.0,320,192.0,Magic logs.png,Magic logs
1972,A nice sturdy magical bow.,859,True,1024.0,18000.0,2560,1536.0,Magic longbow.png,Magic longbow
1973,An unstrung magic longbow; I need a bowstring for this.,70,True,512.0,10000.0,1280,768.0,Magic longbow (u).png,Magic longbow (u)
1974,One dose of fishy Magic potion.,11515,True,60.0,2000.0,150,90.0,Magic mix(1).png,Magic mix(1)
1975,Two doses of fishy Magic potion.,11513,True,80.0,2000.0,200,120.0,Magic mix(2).png,Magic mix(2)
1976,1 dose of Magic potion.,3046,True,60.0,2000.0,150,90.0,Magic potion(1).png,Magic potion(1)
1977,2 doses of Magic potion.,3044,True,80.0,2000.0,200,120.0,Magic potion(2).png,Magic potion(2)
1978,3 doses of Magic potion.,3042,True,100.0,2000.0,250,150.0,Magic potion(3).png,Magic potion(3)
1979,4 doses of Magic potion.,3040,True,120.0,2000.0,300,180.0,Magic potion(4).png,Magic potion(4)
1980,Magic logs prepared with sacred oil for a funeral pyre.,3448,True,256.0,11000.0,640,384.0,Magic pyre logs.png,Magic pyre logs
1981,The roots of the Magic tree.,6051,True,1.0,11000.0,1,1.0,Magic roots.png,Magic roots
1982,This sapling is ready to be replanted in a tree patch.,5374,True,1.0,200.0,1,1.0,Magic sapling.png,Magic sapling
1983,Plant this in a plantpot of soil to grow a sapling.,5316,True,168.0,200.0,422,253.0,Magic seed 5.png,Magic seed
1984,A solid magic wood shield.,22263,True,512.0,125.0,1280,768.0,Magic shield.png,Magic shield
1985,"Short and magical, but still effective.",861,True,640.0,18000.0,1600,960.0,Magic shortbow.png,Magic shortbow
1986,An unstrung magic shortbow; I need a bowstring for this.,72,True,320.0,10000.0,800,480.0,Magic shortbow (u).png,Magic shortbow (u)
1987,Use on a Magic shortbow to imbue the bow.,12786,True,2000.0,10000.0,5000,3000.0,Magic shortbow scroll.png,Magic shortbow scroll
1988,A Magical staff.,1389,False,80.0,125.0,200,120.0,Magic staff.png,Magic staff
1989,A magic crossbow stock.,21952,True,112.0,10000.0,280,168.0,Magic stock.png,Magic stock
1990,A magic stone to make high-level furniture.,8788,True,300000.0,11000.0,750000,450000.0,Magic stone.png,Magic stone
1991,I could use this to make jewellery.,6038,True,1.0,11000.0,1,1.0,Magic string.png,Magic string
1992,Magpie impling in a jar.,11252,True,20.0,18000.0,50,30.0,Magpie impling jar.png,Magpie impling jar
1993,How does it all fit in there?,8508,True,4.0,500.0,10,6.0,Mahogany armchair (flatpack).png,Mahogany armchair (flatpack)
1994,Mahogany armour case.,9861,True,4.0,500.0,10,6.0,Mahogany armour case (flatpack).png,Mahogany armour case (flatpack)
1995,How does it all fit in there?,8572,True,4.0,500.0,10,6.0,Mahogany bench (flatpack).png,Mahogany bench (flatpack)
1996,Feed and catch the birds by placing this in the right spot.,22195,True,2.0,250.0,5,3.0,Mahogany bird house.png,Mahogany bird house
1997,How does it all fit in there?,8514,True,4.0,500.0,10,6.0,Mahogany bookcase (flatpack).png,Mahogany bookcase (flatpack)
1998,How does it all fit in there?,9845,True,4.0,500.0,10,6.0,Mahogany cape rack (flatpack).png,Mahogany cape rack (flatpack)
1999,How does it all fit in there?,8606,True,4.0,500.0,10,6.0,Mahogany dresser (flatpack).png,Mahogany dresser (flatpack)
